"a càrrec de"-preposition-ca "a la carga de"-preposition-oc
"Tràcia"-properNoun-oc "Tràcia"-properNoun-ca
"Tràcia"-properNoun-ca "Tràcia"-properNoun-oc
"Trípol"-properNoun-oc "Trípoli"-properNoun-ca
"Trípoli"-properNoun-ca "Trípol"-properNoun-oc
"Tudèla"-properNoun-oc "Tudela"-properNoun-ca
"Tudela"-properNoun-ca "Tudèla"-properNoun-oc
"Turíngia"-properNoun-oc "Turíngia"-properNoun-ca
"Turíngia"-properNoun-ca "Turíngia"-properNoun-oc
"Tànger"-properNoun-oc "Tànger"-properNoun-ca
"Tànger"-properNoun-ca "Tànger"-properNoun-oc
"Tèrra Auta"-properNoun-oc "Terra Alta"-properNoun-ca
"Terra Alta"-properNoun-ca "Tèrra Auta"-properNoun-oc
"Tèrranòva"-properNoun-oc "Terranova"-properNoun-ca
"Terranova"-properNoun-ca "Tèrranòva"-properNoun-oc
"Udin"-properNoun-oc "Udine"-properNoun-ca
"Udine"-properNoun-ca "Udin"-properNoun-oc
"Vaduz"-properNoun-oc "Vaduz"-properNoun-ca
"Vaduz"-properNoun-ca "Vaduz"-properNoun-oc
"Val de Cofrents"-properNoun-oc "Vall de Cofrents"-properNoun-ca
"Vall de Cofrents"-properNoun-ca "Val de Cofrents"-properNoun-oc
"Val d'Albaida"-properNoun-oc "Vall d'Albaida"-properNoun-ca
"Vall d'Albaida"-properNoun-ca "Val d'Albaida"-properNoun-oc
"Valespir"-properNoun-oc "Vallespir"-properNoun-ca
"Vallespir"-properNoun-ca "Valespir"-properNoun-oc
"Valàquia"-properNoun-oc "Valàquia"-properNoun-ca
"Valàquia"-properNoun-ca "Valàquia"-properNoun-oc
"Valés Occidental"-properNoun-oc "Vallès Occidental"-properNoun-ca
"Vallès Occidental"-properNoun-ca "Valés Occidental"-properNoun-oc
"Valés Oriental"-properNoun-oc "Vallès Oriental"-properNoun-ca
"Vallès Oriental"-properNoun-ca "Valés Oriental"-properNoun-oc
"Valís"-properNoun-oc "Valois"-properNoun-ca
"Valois"-properNoun-ca "Valís"-properNoun-oc
"Venèt"-properNoun-oc "Vèneto"-properNoun-ca
"Vèneto"-properNoun-ca "Venèt"-properNoun-oc
"Viengchan"-properNoun-oc "Vientiane"-properNoun-ca
"Vientiane"-properNoun-ca "Viengchan"-properNoun-oc
"Vientiane"-properNoun-ca "Vientiane"-properNoun-oc
"Vientiane"-properNoun-oc "Vientiane"-properNoun-ca
"Vinalopó Mejan"-properNoun-oc "Vinalopó Mitjà"-properNoun-ca
"Vinalopó Mitjà"-properNoun-ca "Vinalopó Mejan"-properNoun-oc
"Vistula"-properNoun-oc "Vístula"-properNoun-ca
"Vístula"-properNoun-ca "Vistula"-properNoun-oc
"Wuhan"-properNoun-oc "Wuhan"-properNoun-ca
"Wuhan"-properNoun-ca "Wuhan"-properNoun-oc
"Òb"-properNoun-oc "Obi"-properNoun-ca
"Obi"-properNoun-ca "Òb"-properNoun-oc
"Òsca"-properNoun-oc "Osca"-properNoun-ca
"Osca"-properNoun-ca "Òsca"-properNoun-oc
"Xerès"-properNoun-oc "Jerez de la Frontera"-properNoun-ca
"Jerez de la Frontera"-properNoun-ca "Xerès"-properNoun-oc
"Jerez de la Frontera"-properNoun-ca "Jerez de la Frontera"-properNoun-oc
"Jerez de la Frontera"-properNoun-oc "Jerez de la Frontera"-properNoun-ca
"Xinjiang"-properNoun-oc "Xinjiang"-properNoun-ca
"Xinjiang"-properNoun-ca "Xinjiang"-properNoun-oc
"Xixón"-properNoun-oc "Gijón"-properNoun-ca
"Gijón"-properNoun-ca "Xixón"-properNoun-oc
"Yalta"-properNoun-oc "Ialta"-properNoun-ca
"Ialta"-properNoun-ca "Yalta"-properNoun-oc
"Ialta"-properNoun-ca "Ialta"-properNoun-oc
"Ialta"-properNoun-oc "Ialta"-properNoun-ca
"Zaire"-properNoun-oc "Zaire"-properNoun-ca
"Zaire"-properNoun-ca "Zaire"-properNoun-oc
"Zanzibar"-properNoun-oc "Zanzíbar"-properNoun-ca
"Zanzíbar"-properNoun-ca "Zanzibar"-properNoun-oc
"Borgs"-properNoun-oc "Burgos"-properNoun-ca
"Burgos"-properNoun-ca "Borgs"-properNoun-oc
"Güatemala"-properNoun-oc "Guatemala"-properNoun-ca
"Guatemala"-properNoun-ca "Güatemala"-properNoun-oc
"Madril"-properNoun-oc "Madrid"-properNoun-ca
"Madrid"-properNoun-ca "Madril"-properNoun-oc
"Ndakaaru"-properNoun-oc "Dakar"-properNoun-ca
"Dakar"-properNoun-ca "Ndakaaru"-properNoun-oc
"Uviéu"-properNoun-oc "Oviedo"-properNoun-ca
"Oviedo"-properNoun-ca "Uviéu"-properNoun-oc
