"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"trébuchet"-noun-fr "trabuquet"-noun-oc
"tremuèja"-noun-oc "trémie"-noun-fr
"trémie"-noun-fr "tremuèja"-noun-oc
"trémie"-noun-fr "tremuòja"-noun-oc
"tremuòja"-noun-oc "trémie"-noun-fr
"trumèl"-noun-oc "trumeau"-noun-fr
"trumeau"-noun-fr "trumèl"-noun-oc
"ubiqüista"-noun-oc "ubiquiste"-noun-fr
"ubiquiste"-noun-fr "ubiqüista"-noun-oc
"ubiquiste"-noun-fr "ubiqüitari"-noun-oc
"ubiqüitari"-noun-oc "ubiquiste"-noun-fr
"univerbacion"-noun-oc "univerbation"-noun-fr
"univerbation"-noun-fr "univerbacion"-noun-oc
"valetudinari"-noun-oc "valétudinaire"-noun-fr
"valétudinaire"-noun-fr "valetudinari"-noun-oc
"vaticinador"-noun-oc "vaticinateur"-noun-fr
"vaticinateur"-noun-fr "vaticinador"-noun-oc
"vaticinacion"-noun-oc "vaticination"-noun-fr
"vaticination"-noun-fr "vaticinacion"-noun-oc
"vauclusenc"-noun-oc "Vauclusien"-noun-fr
"Vauclusien"-noun-fr "vauclusenc"-noun-oc
"velhada"-noun-oc "veillée"-noun-fr
"veillée"-noun-fr "velhada"-noun-oc
"velosat"-noun-oc "velouté"-noun-fr
"velouté"-noun-fr "velosat"-noun-oc
"verenor"-noun-oc "venimosité"-noun-fr
"venimosité"-noun-fr "verenor"-noun-oc
"venimosité"-noun-fr "verinor"-noun-oc
"verinor"-noun-oc "venimosité"-noun-fr
"verdaula"-noun-oc "verdier"-noun-fr
"verdier"-noun-fr "verdaula"-noun-oc
"verdier"-noun-fr "verdier"-noun-oc
"verdier"-noun-fr "verdeiròla"-noun-oc
"verdier"-noun-fr "verdon"-noun-oc
"verdier"-noun-oc "verdier"-noun-fr
"verdeiròla"-noun-oc "verdier"-noun-fr
"verdon"-noun-oc "verdier"-noun-fr
"vergada"-noun-oc "vergeture"-noun-fr
"vergeture"-noun-fr "vergada"-noun-oc
"vèrre"-noun-oc "verrat"-noun-fr
"verrat"-noun-fr "vèrre"-noun-oc
"verticille"-noun-oc "verticille"-noun-fr
"verticille"-noun-fr "verticille"-noun-oc
"verticille"-noun-fr "verticil"-noun-oc
"verticil"-noun-oc "verticille"-noun-fr
"borrelet"-noun-oc "vertugadin"-noun-fr
"vertugadin"-noun-fr "borrelet"-noun-oc
"vertugadin"-noun-fr "vertugala"-noun-oc
"vertugala"-noun-oc "vertugadin"-noun-fr
"lofa"-noun-oc "vesse"-noun-fr
"vesse"-noun-fr "lofa"-noun-oc
"vintau"-noun-oc "vingtième"-noun-fr
"vingtième"-noun-fr "vintau"-noun-oc
"vingtième"-noun-fr "vinten"-noun-oc
"vinten"-noun-oc "vingtième"-noun-fr
"viure"-noun-oc "vivre"-noun-fr
"vivre"-noun-fr "viure"-noun-oc
"vivre"-noun-fr "víver"-noun-oc
"víver"-noun-oc "vivre"-noun-fr
"voler"-noun-oc "vouloir"-noun-fr
"vouloir"-noun-fr "voler"-noun-oc
"iac"-noun-oc "yack"-noun-fr
"yack"-noun-fr "iac"-noun-oc
"ieti"-noun-oc "yéti"-noun-fr
"yéti"-noun-fr "ieti"-noun-oc
"yéti"-noun-fr "yeti"-noun-oc
"yeti"-noun-oc "yéti"-noun-fr
"ioca"-noun-oc "yucca"-noun-fr
"yucca"-noun-fr "ioca"-noun-oc
"blesejadís"-noun-oc "zézaiement"-noun-fr
"zézaiement"-noun-fr "blesejadís"-noun-oc
"zincatge"-noun-oc "zingage"-noun-fr
"zingage"-noun-fr "zincatge"-noun-oc
"anemometria"-noun-oc "anémométrie"-noun-fr
"anémométrie"-noun-fr "anemometria"-noun-oc
"arqueometria"-noun-oc "archéométrie"-noun-fr
"archéométrie"-noun-fr "arqueometria"-noun-oc
"cartometria"-noun-oc "cartométrie"-noun-fr
"cartométrie"-noun-fr "cartometria"-noun-oc
"cronometria"-noun-oc "chronométrie"-noun-fr
"chronométrie"-noun-fr "cronometria"-noun-oc
"abonat"-adjective-oc "abonné"-adjective-fr
"abonné"-adjective-fr "abonat"-adjective-oc
"abreujat"-adjective-oc "abrégé"-adjective-fr
"abrégé"-adjective-fr "abreujat"-adjective-oc
"entrebescat"-adjective-oc "abscons"-adjective-fr
"abscons"-adjective-fr "entrebescat"-adjective-oc
"accessorista"-adjective-oc "accessoiriste"-adjective-fr
"accessoiriste"-adjective-fr "accessorista"-adjective-oc
"complasent"-adjective-oc "accommodant"-adjective-fr
"accommodant"-adjective-fr "complasent"-adjective-oc
"levaire"-adjective-oc "accoucheur"-adjective-fr
"accoucheur"-adjective-fr "levaire"-adjective-oc
"accoucheur"-adjective-fr "levandièr"-adjective-oc
"levandièr"-adjective-oc "accoucheur"-adjective-fr
"crompaire"-adjective-oc "acheteur"-adjective-fr
"acheteur"-adjective-fr "crompaire"-adjective-oc
"acheteur"-adjective-fr "compraire"-adjective-oc
"compraire"-adjective-oc "acheteur"-adjective-fr
"aquesit"-adjective-oc "acquis"-adjective-fr
"acquis"-adjective-fr "aquesit"-adjective-oc
"adventici"-adjective-oc "adventice"-adjective-fr
"adventice"-adjective-fr "adventici"-adjective-oc
"aeroportat"-adjective-oc "aéroporté"-adjective-fr
"aéroporté"-adjective-fr "aeroportat"-adjective-oc
"afairista"-adjective-oc "affairiste"-adjective-fr
"affairiste"-adjective-fr "afairista"-adjective-oc
"afamaire"-adjective-oc "affameur"-adjective-fr
"affameur"-adjective-fr "afamaire"-adjective-oc
"afisat"-adjective-oc "affidé"-adjective-fr
"affidé"-adjective-fr "afisat"-adjective-oc
"agrolós"-adjective-oc "aigrelet"-adjective-fr
"agrolós"-adjective-oc "aigret"-adjective-fr
"aigrelet"-adjective-fr "agrolós"-adjective-oc
"aigret"-adjective-fr "agrolós"-adjective-oc
"sextian"-adjective-oc "aixois"-adjective-fr
"aixois"-adjective-fr "sextian"-adjective-oc
"aixois"-adjective-fr "sestian"-adjective-oc
"sestian"-adjective-oc "aixois"-adjective-fr
"albuminoïde"-adjective-oc "albuminoïde"-adjective-fr
"albuminoïde"-adjective-fr "albuminoïde"-adjective-oc
"aletic"-adjective-oc "aléthique"-adjective-fr
"aléthique"-adjective-fr "aletic"-adjective-oc
"ametabòl"-adjective-oc "amétabole"-adjective-fr
"amétabole"-adjective-fr "ametabòl"-adjective-oc
"apercebut"-adjective-oc "aperçu"-adjective-fr
"aperçu"-adjective-fr "apercebut"-adjective-oc
"arabizant"-adjective-oc "arabisant"-adjective-fr
"arabisant"-adjective-fr "arabizant"-adjective-oc
"aubenc"-adjective-oc "aubain"-adjective-fr
"aubain"-adjective-fr "aubenc"-adjective-oc
"autocentrat"-adjective-oc "autocentré"-adjective-fr
"autocentré"-adjective-fr "autocentrat"-adjective-oc
"balear"-noun-oc "baléare"-noun-fr
"baléare"-noun-fr "balear"-noun-oc
"botinaire"-adjective-oc "boudeur"-adjective-fr
"boudeur"-adjective-fr "botinaire"-adjective-oc
"boudeur"-adjective-fr "botinhaire"-adjective-oc
"boudeur"-adjective-fr "fonhós"-adjective-oc
"boudeur"-adjective-fr "labrejaire"-adjective-oc
"botinhaire"-adjective-oc "boudeur"-adjective-fr
"fonhós"-adjective-oc "boudeur"-adjective-fr
"labrejaire"-adjective-oc "boudeur"-adjective-fr
"bronzinaire"-adjective-oc "bourdonnant"-adjective-fr
"bourdonnant"-adjective-fr "bronzinaire"-adjective-oc
"bourdonnant"-adjective-fr "bronzinant"-adjective-oc
"bronzinant"-adjective-oc "bourdonnant"-adjective-fr
"borrolaire"-adjective-oc "brouillon"-adjective-fr
"brouillon"-adjective-fr "borrolaire"-adjective-oc
"brouillon"-adjective-fr "borrolhon"-adjective-oc
"borrolhon"-adjective-oc "brouillon"-adjective-fr
"camús"-adjective-oc "camus"-adjective-fr
"camus"-adjective-fr "camús"-adjective-oc
"camus"-adjective-fr "niais"-adjective-oc
"niais"-adjective-oc "camus"-adjective-fr
"cavalièr"-adjective-oc "chevalier"-adjective-fr
"chevalier"-adjective-fr "cavalièr"-adjective-oc
"sanaire"-adjective-oc "châtreur"-adjective-fr
"châtreur"-adjective-fr "sanaire"-adjective-oc
"cercaire"-adjective-oc "chercheur"-adjective-fr
"chercheur"-adjective-fr "cercaire"-adjective-oc
"chercheur"-adjective-fr "recercaire"-adjective-oc
"recercaire"-adjective-oc "chercheur"-adjective-fr
"banut"-adjective-oc "cornu"-adjective-fr
"cornu"-adjective-fr "banut"-adjective-oc
"cornu"-adjective-fr "cornut"-adjective-oc
"cornu"-adjective-fr "banarut"-adjective-oc
"cornut"-adjective-oc "cornu"-adjective-fr
"banarut"-adjective-oc "cornu"-adjective-fr
"comparatista"-adjective-oc "comparatiste"-adjective-fr
"comparatiste"-adjective-fr "comparatista"-adjective-oc
"concubin"-adjective-oc "concubin"-adjective-fr
"concubin"-adjective-fr "concubin"-adjective-oc
"con"-adjective-oc "con"-adjective-fr
"con"-adjective-fr "con"-adjective-oc
"cuèch"-adjective-oc "cuit"-adjective-fr
"cuit"-adjective-fr "cuèch"-adjective-oc
"cuit"-adjective-fr "cuèit"-adjective-oc
"cuit"-adjective-fr "còit"-adjective-oc
"cuit"-adjective-fr "cuòch"-adjective-oc
"cuèit"-adjective-oc "cuit"-adjective-fr
"còit"-adjective-oc "cuit"-adjective-fr
"cuòch"-adjective-oc "cuit"-adjective-fr
"curator"-adjective-oc "curateur"-adjective-fr
"curateur"-adjective-fr "curator"-adjective-oc
"curat"-adjective-oc "curé"-adjective-fr
"curé"-adjective-fr "curat"-adjective-oc
"dalmatic"-adjective-oc "dalmatique"-adjective-fr
"dalmatique"-adjective-fr "dalmatic"-adjective-oc
"decuple"-adjective-oc "décuple"-adjective-fr
"décuple"-adjective-fr "decuple"-adjective-oc
"deïctic"-adjective-oc "déictique"-adjective-fr
"déictique"-adjective-fr "deïctic"-adjective-oc
"dispaus"-adjective-oc "dispos"-adjective-fr
"dispos"-adjective-fr "dispaus"-adjective-oc
"dispos"-adjective-fr "lèst"-adjective-oc
"lèst"-adjective-oc "dispos"-adjective-fr
"escolan"-adjective-oc "écolier"-adjective-fr
"écolier"-adjective-fr "escolan"-adjective-oc
"escorgaire"-adjective-oc "écorcheur"-adjective-fr
"écorcheur"-adjective-fr "escorgaire"-adjective-oc
"écorcheur"-adjective-fr "escorjaire"-adjective-oc
"escorjaire"-adjective-oc "écorcheur"-adjective-fr
"adocit"-adjective-oc "édulcoré"-adjective-fr
"édulcoré"-adjective-fr "adocit"-adjective-oc
"édulcoré"-adjective-fr "amaisat"-adjective-oc
"édulcoré"-adjective-fr "edulcorat"-adjective-oc
"amaisat"-adjective-oc "édulcoré"-adjective-fr
"edulcorat"-adjective-oc "édulcoré"-adjective-fr
"electrosensible"-adjective-oc "électrosensible"-adjective-fr
"électrosensible"-adjective-fr "electrosensible"-adjective-oc
"emplegat"-adjective-oc "employé"-adjective-fr
"employé"-adjective-fr "emplegat"-adjective-oc
"emocionat"-adjective-oc "ému"-adjective-fr
"ému"-adjective-fr "emocionat"-adjective-oc
"ému"-adjective-fr "esmogut"-adjective-oc
"esmogut"-adjective-oc "ému"-adjective-fr
"engordit"-adjective-oc "engourdi"-adjective-fr
"engourdi"-adjective-fr "engordit"-adjective-oc
"engourdi"-adjective-fr "engrepesit"-adjective-oc
"engrepesit"-adjective-oc "engourdi"-adjective-fr
"ensenhable"-adjective-oc "enseignable"-adjective-fr
"enseignable"-adjective-fr "ensenhable"-adjective-oc
"eponim"-adjective-oc "éponyme"-adjective-fr
"éponyme"-adjective-fr "eponim"-adjective-oc
"éponyme"-adjective-fr "eponime"-adjective-oc
"eponime"-adjective-oc "éponyme"-adjective-fr
"transeuropèu"-adjective-oc "transeuropéen"-adjective-fr
"transeuropéen"-adjective-fr "transeuropèu"-adjective-oc
"fach"-adjective-oc "fait"-adjective-fr
"fait"-adjective-fr "fach"-adjective-oc
"fait"-adjective-fr "fait"-adjective-oc
"fait"-adjective-oc "fait"-adjective-fr
"faròt"-adjective-oc "faraud"-adjective-fr
"faraud"-adjective-fr "faròt"-adjective-oc
"fetiche"-adjective-oc "fétiche"-adjective-fr
"fétiche"-adjective-fr "fetiche"-adjective-oc
"nòvi"-adjective-oc "fiancé"-adjective-fr
"fiancé"-adjective-fr "nòvi"-adjective-oc
"fiancé"-adjective-fr "promés"-adjective-oc
"promés"-adjective-oc "fiancé"-adjective-fr
"foraminifèr"-adjective-oc "foraminifère"-adjective-fr
"foraminifère"-adjective-fr "foraminifèr"-adjective-oc
"forrat"-adjective-oc "fourré"-adjective-fr
"fourré"-adjective-fr "forrat"-adjective-oc
"fourré"-adjective-fr "garnit"-adjective-oc
"garnit"-adjective-oc "fourré"-adjective-fr
"foissenc"-adjective-oc "fuxéen"-adjective-fr
"fuxéen"-adjective-fr "foissenc"-adjective-oc
"golut"-adjective-oc "goulu"-adjective-fr
"goulu"-adjective-fr "golut"-adjective-oc
"a gratis"-adjective-oc "gratis"-adjective-fr
"gratis"-adjective-fr "a gratis"-adjective-oc
"erbut"-adjective-oc "herbu"-adjective-fr
"herbu"-adjective-fr "erbut"-adjective-oc
"idronimic"-adjective-oc "hydronymique"-adjective-fr
"hydronymique"-adjective-fr "idronimic"-adjective-oc
"iatrogèn"-adjective-oc "iatrogène"-adjective-fr
"iatrogène"-adjective-fr "iatrogèn"-adjective-oc
"idolatra"-adjective-oc "idolâtre"-adjective-fr
"idolâtre"-adjective-fr "idolatra"-adjective-oc
"inalador"-adjective-oc "inhalateur"-adjective-fr
"inhalateur"-adjective-fr "inalador"-adjective-oc
"inhalateur"-adjective-fr "inalator"-adjective-oc
"inalator"-adjective-oc "inhalateur"-adjective-fr
"intocat"-adjective-oc "intouché"-adjective-fr
"intouché"-adjective-fr "intocat"-adjective-oc
"irrecobrable"-adjective-oc "irrécouvrable"-adjective-fr
"irrécouvrable"-adjective-fr "irrecobrable"-adjective-oc
"jurat"-adjective-oc "juré"-adjective-fr
"juré"-adjective-fr "jurat"-adjective-oc
"lacunós"-adjective-oc "lacuneux"-adjective-fr
"lacuneux"-adjective-fr "lacunós"-adjective-oc
"plorinós"-adjective-oc "pleurnicheur"-adjective-fr
"pleurnicheur"-adjective-fr "plorinós"-adjective-oc
"linnean"-adjective-oc "linnéen"-adjective-fr
"linnéen"-adjective-fr "linnean"-adjective-oc
"loseròt"-adjective-oc "lozérien"-adjective-fr
"lozérien"-adjective-fr "loseròt"-adjective-oc
"maçon"-adjective-oc "maçon"-adjective-fr
"maçon"-adjective-fr "maçon"-adjective-oc
"maçon"-adjective-fr "muraire"-adjective-oc
"muraire"-adjective-oc "maçon"-adjective-fr
"magdalenian"-adjective-oc "magdalénien"-adjective-fr
"magdalénien"-adjective-fr "magdalenian"-adjective-oc
"dur d'aurelha"-adjective-oc "malentendant"-adjective-fr
"malentendant"-adjective-fr "dur d'aurelha"-adjective-oc
"malentendant"-adjective-fr "malausent"-adjective-oc
"malentendant"-adjective-fr "malentendent"-adjective-oc
"malausent"-adjective-oc "malentendant"-adjective-fr
"malentendent"-adjective-oc "malentendant"-adjective-fr
"malgraciós"-adjective-oc "malgracieux"-adjective-fr
"malgracieux"-adjective-fr "malgraciós"-adjective-oc
"malpropre"-adjective-fr "malnet"-adjective-oc
"malnet"-adjective-oc "malpropre"-adjective-fr
"mammalian"-adjective-oc "mammalien"-adjective-fr
"mammalien"-adjective-fr "mammalian"-adjective-oc
"mendelian"-adjective-oc "mendélien"-adjective-fr
"mendélien"-adjective-fr "mendelian"-adjective-oc
"metabòl"-adjective-oc "métabole"-adjective-fr
"métabole"-adjective-fr "metabòl"-adjective-oc
"afectat"-adjective-oc "mièvre"-adjective-fr
"mièvre"-adjective-fr "afectat"-adjective-oc
"mièvre"-adjective-fr "doçàs"-adjective-oc
"mièvre"-adjective-fr "fad"-adjective-oc
"mièvre"-adjective-fr "fade"-adjective-oc
"mièvre"-adjective-fr "manierós"-adjective-oc
"doçàs"-adjective-oc "mièvre"-adjective-fr
"fad"-adjective-oc "mièvre"-adjective-fr
"fade"-adjective-oc "mièvre"-adjective-fr
"manierós"-adjective-oc "mièvre"-adjective-fr
"mofle"-adjective-oc "moelleux"-adjective-fr
"moelleux"-adjective-fr "mofle"-adjective-oc
"nimesenc"-adjective-oc "nîmois"-adjective-fr
"nîmois"-adjective-fr "nimesenc"-adjective-oc
"antioccitanista"-adjective-oc "antioccitaniste"-adjective-fr
"antioccitaniste"-adjective-fr "antioccitanista"-adjective-oc
"ordenador"-adjective-oc "ordinateur"-adjective-fr
"ordinateur"-adjective-fr "ordenador"-adjective-oc
"ordinateur"-adjective-fr "ordenator"-adjective-oc
"ordinateur"-adjective-fr "ordinator"-adjective-oc
"ordenator"-adjective-oc "ordinateur"-adjective-fr
"ordinator"-adjective-oc "ordinateur"-adjective-fr
"panegiric"-adjective-oc "panégyrique"-adjective-fr
"panégyrique"-adjective-fr "panegiric"-adjective-oc
"manja-papièr"-adjective-oc "papivore"-adjective-fr
"papivore"-adjective-fr "manja-papièr"-adjective-oc
"papivore"-adjective-fr "papivòr"-adjective-oc
"papivòr"-adjective-oc "papivore"-adjective-fr
"parafiletic"-adjective-oc "paraphylétique"-adjective-fr
"paraphylétique"-adjective-fr "parafiletic"-adjective-oc
"partit"-adjective-oc "parti"-adjective-fr
"parti"-adjective-fr "partit"-adjective-oc
"caladat"-adjective-oc "pavé"-adjective-fr
"pavé"-adjective-fr "caladat"-adjective-oc
"pelagian"-adjective-oc "pélagien"-adjective-fr
"pélagien"-adjective-fr "pelagian"-adjective-oc
"pennat"-adjective-oc "penné"-adjective-fr
"penné"-adjective-fr "pennat"-adjective-oc
"pèrs"-adjective-oc "pers"-adjective-fr
"pers"-adjective-fr "pèrs"-adjective-oc
"ploraire"-adjective-oc "pleureur"-adjective-fr
"pleureur"-adjective-fr "ploraire"-adjective-oc
"pleureur"-adjective-fr "plorós"-adjective-oc
"plorós"-adjective-oc "pleureur"-adjective-fr
"peissonós"-adjective-oc "poissonneux"-adjective-fr
"poissonneux"-adjective-fr "peissonós"-adjective-oc
"policentric"-adjective-oc "polycentrique"-adjective-fr
"polycentrique"-adjective-fr "policentric"-adjective-oc
"poirit"-adjective-oc "pourri"-adjective-fr
"pourri"-adjective-fr "poirit"-adjective-oc
"prognat"-adjective-oc "prognathe"-adjective-fr
"prognathe"-adjective-fr "prognat"-adjective-oc
"proligèr"-adjective-oc "proligère"-adjective-fr
"proligère"-adjective-fr "proligèr"-adjective-oc
"pruna"-adjective-oc "prune"-adjective-fr
"prune"-adjective-fr "pruna"-adjective-oc
"crentós"-adjective-oc "pusillanime"-adjective-fr
"pusillanime"-adjective-fr "crentós"-adjective-oc
"pusillanime"-adjective-fr "pusillanime"-adjective-oc
"pusillanime"-adjective-oc "pusillanime"-adjective-fr
"putassièr"-adjective-oc "putassier"-adjective-fr
"putassier"-adjective-fr "putassièr"-adjective-oc
"rabelaisian"-adjective-oc "rabelaisien"-adjective-fr
"rabelaisien"-adjective-fr "rabelaisian"-adjective-oc
"rabelaisien"-adjective-fr "rabelesian"-adjective-oc
"rabelesian"-adjective-oc "rabelaisien"-adjective-fr
"radifèr"-adjective-oc "radifère"-adjective-fr
"radifère"-adjective-fr "radifèr"-adjective-oc
"rascàs"-adjective-oc "radin"-adjective-fr
"radin"-adjective-fr "rascàs"-adjective-oc
"radin"-adjective-fr "sarrat"-adjective-oc
"sarrat"-adjective-oc "radin"-adjective-fr
"rebatut"-adjective-oc "rebattu"-adjective-fr
"rebattu"-adjective-fr "rebatut"-adjective-oc
"penedent"-adjective-oc "repentant"-adjective-fr
"repentant"-adjective-fr "penedent"-adjective-oc
"repentant"-adjective-fr "pentent"-adjective-oc
"repentant"-adjective-fr "pentós"-adjective-oc
"repentant"-adjective-fr "repentent"-adjective-oc
"pentent"-adjective-oc "repentant"-adjective-fr
"pentós"-adjective-oc "repentant"-adjective-fr
"repentent"-adjective-oc "repentant"-adjective-fr
"rodanenc"-adjective-oc "rhodanien"-adjective-fr
"rhodanien"-adjective-fr "rodanenc"-adjective-oc
"reumatic"-adjective-oc "rhumatisant"-adjective-fr
"rhumatisant"-adjective-fr "reumatic"-adjective-oc
"roergàs"-adjective-oc "rouergat"-adjective-fr
"rouergat"-adjective-fr "roergàs"-adjective-oc
"rouergat"-adjective-fr "roergat"-adjective-oc
"roergat"-adjective-oc "rouergat"-adjective-fr
"sabla"-adjective-oc "sable"-adjective-fr
"sable"-adjective-fr "sabla"-adjective-oc
"solipède"-adjective-oc "solipède"-adjective-fr
"solipède"-adjective-fr "solipède"-adjective-oc
"seguidor"-adjective-oc "successeur"-adjective-fr
"successeur"-adjective-fr "seguidor"-adjective-oc
"capborrut"-adjective-oc "têtu"-adjective-fr
"têtu"-adjective-fr "capborrut"-adjective-oc
"termoalin"-adjective-oc "thermohalin"-adjective-fr
"thermohalin"-adjective-fr "termoalin"-adjective-oc
"thermohalin"-adjective-fr "termosalin"-adjective-oc
"termosalin"-adjective-oc "thermohalin"-adjective-fr
"teissut"-adjective-oc "tissu"-adjective-fr
"teissut"-adjective-oc "tissé"-adjective-fr
"tissu"-adjective-fr "teissut"-adjective-oc
"tissé"-adjective-fr "teissut"-adjective-oc
"traïdor"-adjective-oc "traître"-adjective-fr
"traître"-adjective-fr "traïdor"-adjective-oc
"trach"-adjective-oc "trait"-adjective-fr
"trait"-adjective-fr "trach"-adjective-oc
"trait"-adjective-fr "trait"-adjective-oc
"trait"-adjective-oc "trait"-adjective-fr
"turgid"-adjective-oc "turgide"-adjective-fr
"turgide"-adjective-fr "turgid"-adjective-oc
"ubiqüista"-adjective-oc "ubiquiste"-adjective-fr
"ubiquiste"-adjective-fr "ubiqüista"-adjective-oc
"ubiquiste"-adjective-fr "ubiquista"-adjective-oc
"ubiquiste"-adjective-fr "ubiqüitari"-adjective-oc
"ubiquiste"-adjective-fr "ubiquitari"-adjective-oc
"ubiquista"-adjective-oc "ubiquiste"-adjective-fr
"ubiqüitari"-adjective-oc "ubiquiste"-adjective-fr
"ubiquitari"-adjective-oc "ubiquiste"-adjective-fr
"vauclusenc"-adjective-oc "vauclusien"-adjective-fr
"vauclusien"-adjective-fr "vauclusenc"-adjective-oc
"velleïtós"-adjective-oc "velléitaire"-adjective-fr
"velléitaire"-adjective-fr "velleïtós"-adjective-oc
"velosat"-adjective-oc "velouté"-adjective-fr
"velouté"-adjective-fr "velosat"-adjective-oc
"verdejant"-adjective-oc "verdoyant"-adjective-fr
"verdoyant"-adjective-fr "verdejant"-adjective-oc
"verdoyant"-adjective-fr "verdolejant"-adjective-oc
"verdoyant"-adjective-fr "verdolent"-adjective-oc
"verdolejant"-adjective-oc "verdoyant"-adjective-fr
"verdolent"-adjective-oc "verdoyant"-adjective-fr
"aviat"-adjective-oc "vite"-adjective-fr
"vite"-adjective-fr "aviat"-adjective-oc
"vite"-adjective-fr "prompte"-adjective-oc
"prompte"-adjective-oc "vite"-adjective-fr
"raubaire"-adjective-oc "voleur"-adjective-fr
"voleur"-adjective-fr "raubaire"-adjective-oc
"zincifèr"-adjective-oc "zincifère"-adjective-fr
"zincifère"-adjective-fr "zincifèr"-adjective-oc
"assetat"-adjective-oc "assis"-adjective-fr
"assis"-adjective-fr "assetat"-adjective-oc
"cafè"-adjective-oc "café"-adjective-fr
"café"-adjective-fr "cafè"-adjective-oc
"limit"-adjective-oc "limite"-adjective-fr
"limite"-adjective-fr "limit"-adjective-oc
"compromés"-adjective-oc "compromis"-adjective-fr
"compromis"-adjective-fr "compromés"-adjective-oc
"alienat"-adjective-oc "aliéné"-adjective-fr
"aliéné"-adjective-fr "alienat"-adjective-oc
"neutralizat"-adjective-oc "neutralisé"-adjective-fr
"neutralisé"-adjective-fr "neutralizat"-adjective-oc
"aglomerat"-adjective-oc "aggloméré"-adjective-fr
"aggloméré"-adjective-fr "aglomerat"-adjective-oc
"reaprovisionat"-adjective-oc "reapprovisionné"-adjective-fr
"reapprovisionné"-adjective-fr "reaprovisionat"-adjective-oc
"bioindicador"-adjective-oc "bioindicateur"-adjective-fr
"bioindicateur"-adjective-fr "bioindicador"-adjective-oc
"bioindicateur"-adjective-fr "bioindicator"-adjective-oc
"bioindicator"-adjective-oc "bioindicateur"-adjective-fr
"legista"-adjective-oc "légiste"-adjective-fr
"légiste"-adjective-fr "legista"-adjective-oc
"anxiolitic"-adjective-oc "anxiolytique"-adjective-fr
"anxiolytique"-adjective-fr "anxiolitic"-adjective-oc
"agrit"-adjective-oc "aigri"-adjective-fr
"aigri"-adjective-fr "agrit"-adjective-oc
"aigri"-adjective-fr "aigrit"-adjective-oc
"aigrit"-adjective-oc "aigri"-adjective-fr
"desonorat"-adjective-oc "déshonoré"-adjective-fr
"déshonoré"-adjective-fr "desonorat"-adjective-oc
"dentifrici"-adjective-oc "dentifrice"-adjective-fr
"dentifrice"-adjective-fr "dentifrici"-adjective-oc
"logician"-adjective-oc "logicien"-adjective-fr
"logicien"-adjective-fr "logician"-adjective-oc
"confirmat"-adjective-oc "confirmé"-adjective-fr
"confirmé"-adjective-fr "confirmat"-adjective-oc
"pelat"-adjective-oc "pelé"-adjective-fr
"pelé"-adjective-fr "pelat"-adjective-oc
"brancut"-adjective-oc "branchu"-adjective-fr
"branchu"-adjective-fr "brancut"-adjective-oc
"concentrat"-adjective-oc "concentré"-adjective-fr
"concentré"-adjective-fr "concentrat"-adjective-oc
"exasperat"-adjective-oc "exaspéré"-adjective-fr
"exaspéré"-adjective-fr "exasperat"-adjective-oc
"insonorizat"-adjective-oc "insonorisé"-adjective-fr
"insonorisé"-adjective-fr "insonorizat"-adjective-oc
"vitaminat"-adjective-oc "vitaminé"-adjective-fr
"vitaminé"-adjective-fr "vitaminat"-adjective-oc
"flaccid"-adjective-oc "flaccide"-adjective-fr
"flaccide"-adjective-fr "flaccid"-adjective-oc
"frigid"-adjective-oc "frigide"-adjective-fr
"frigide"-adjective-fr "frigid"-adjective-oc
"morbid"-adjective-oc "morbide"-adjective-fr
"morbide"-adjective-fr "morbid"-adjective-oc
"putrid"-adjective-oc "putride"-adjective-fr
"putride"-adjective-fr "putrid"-adjective-oc
"fissil"-adjective-oc "fissile"-adjective-fr
"fissile"-adjective-fr "fissil"-adjective-oc
"volatile"-adjective-oc "volatile"-adjective-fr
"volatile"-adjective-fr "volatile"-adjective-oc
"contractil"-adjective-oc "contractile"-adjective-fr
"contractile"-adjective-fr "contractil"-adjective-oc
"anglofil"-adjective-oc "anglophile"-adjective-fr
"anglophile"-adjective-fr "anglofil"-adjective-oc
"bascofil"-adjective-oc "bascophile"-adjective-fr
"bascophile"-adjective-fr "bascofil"-adjective-oc
"bibliofil"-adjective-oc "bibliophile"-adjective-fr
"bibliophile"-adjective-fr "bibliofil"-adjective-oc
"catalanofil"-adjective-oc "catalanophile"-adjective-fr
"catalanophile"-adjective-fr "catalanofil"-adjective-oc
"cinefil"-adjective-oc "cinéphile"-adjective-fr
"cinéphile"-adjective-fr "cinefil"-adjective-oc
"cinofil"-adjective-oc "cynophile"-adjective-fr
"cynophile"-adjective-fr "cinofil"-adjective-oc
"discofil"-adjective-oc "discophile"-adjective-fr
"discophile"-adjective-fr "discofil"-adjective-oc
"occitanofil"-adjective-oc "occitanophile"-adjective-fr
"occitanophile"-adjective-fr "occitanofil"-adjective-oc
"antioccitan"-adjective-oc "antioccitan"-adjective-fr
"antioccitan"-adjective-fr "antioccitan"-adjective-oc
"anticatalan"-noun-oc "anticatalan"-noun-fr
"anticatalan"-noun-fr "anticatalan"-noun-oc
"antioccitan"-noun-oc "antioccitan"-noun-fr
"antioccitan"-noun-fr "antioccitan"-noun-oc
"filar"-adjective-oc "filaire"-adjective-fr
