"'Ndrangheta"-properNoun-fra "'Ndrangheta"-properNoun-cat
"un peu trop de"-preposition-fra "una mica massa de"-preposition-cat
"un peu trop peu"-adverb-fra "una mica massa poc"-adverb-cat
"un peu trop peu de"-preposition-fra "una mica massa poc de"-preposition-cat
"un tant soit peu"-adverb-fra "mínimament"-adverb-cat
"unaire"-adjective-fra "unari"-adjective-cat
"Unamuno"-properNoun-fra "Unamuno"-properNoun-cat
"unanime"-adjective-fra "unànime"-adjective-cat
"unanimement"-adverb-fra "unànimement"-adverb-cat
"unanimisme"-noun-fra "unanimisme"-noun-cat
"unanimiste"-noun-fra "unanimista"-noun-cat
"unanimité"-noun-fra "unanimitat"-noun-cat
"unciforme"-adjective-fra "unciforme"-adjective-cat
"underground"-adjective-fra "underground"-adjective-cat
"Underwood"-properNoun-fra "Underwood"-properNoun-cat
"Unesco"-noun-fra "Unesco"-noun-cat
"Unesco"-noun-fra "Unesco"-noun-cat
"Ung"-properNoun-fra "Ung"-properNoun-cat
"Ungar"-properNoun-fra "Ungar"-properNoun-cat
"Unger"-properNoun-fra "Unger"-properNoun-cat
"Ungur"-properNoun-fra "Ungur"-properNoun-cat
"Ungureanu"-properNoun-fra "Ungureanu"-properNoun-cat
"Unha"-properNoun-fra "Unha"-properNoun-cat
"uniate"-adjective-fra "uniat"-adjective-cat
"uniate"-noun-fra "uniat"-noun-cat
"Unicaja"-properNoun-fra "Unicaja"-properNoun-cat
"unicaule"-adjective-fra "unicaule"-adjective-cat
"Unicef"-noun-fra "Unicef"-noun-cat
"unicellulaire"-adjective-fra "unicel·lular"-adjective-cat
"unicité"-noun-fra "unicitat"-noun-cat
"Unicode"-properNoun-fra "Unicode"-properNoun-cat
"unicorne"-adjective-fra "unicorne"-adjective-cat
"unidimensionnalité"-noun-fra "unidimensionalitat"-noun-cat
"unidimensionnel"-adjective-fra "unidimensional"-adjective-cat
"unidimensionnellement"-adverb-fra "unidimensionalment"-adverb-cat
"unidirectionellement"-adverb-fra "unidireccionalment"-adverb-cat
"unidirectionnel"-adjective-fra "unidireccional"-adjective-cat
"unification"-noun-fra "unificació"-noun-cat
"unifier"-verb-fra "unificar"-verb-cat
"unifilaire"-adjective-fra "unifilar"-adjective-cat
"uniforme"-adjective-fra "uniforme"-adjective-cat
"uniforme"-noun-fra "uniforme"-noun-cat
"uniformément"-adverb-fra "uniformement"-adverb-cat
"uniformisation"-noun-fra "uniformització"-noun-cat
"uniformiser"-verb-fra "uniformitzar"-verb-cat
"uniformiser"-verb-fra "uniformar"-verb-cat
"uniformitarisme"-noun-fra "uniformitarisme"-noun-cat
"uniformité"-noun-fra "uniformitat"-noun-cat
"unilatéral"-adjective-fra "unilateral"-adjective-cat
"unilatéralement"-adverb-fra "unilateralment"-adverb-cat
"unilatéralisme"-noun-fra "unilateralisme"-noun-cat
"unilatéralité"-noun-fra "unilateralitat"-noun-cat
"uniloculaire"-adjective-fra "unilocular"-adjective-cat
"unimodulaire"-adjective-fra "unimodular"-adjective-cat
"uninominal"-adjective-fra "uninominal"-adjective-cat
"union"-noun-fra "unió"-noun-cat
"Union des républiques socialistes soviétiques"-properNoun-fra "Unió de Repúbliques Socialistes Soviètiques"-properNoun-cat
"Union économique et monétaire ouest-africaine"-properNoun-fra "Unió Econòmica i Monetària de l'Oest d'Àfrica"-properNoun-cat
"Union européenne"-properNoun-fra "Unió Europea"-properNoun-cat
"Unión Fenosa"-properNoun-fra "Unión Fenosa"-properNoun-cat
"Union soviétique"-properNoun-fra "Unió Soviètica"-properNoun-cat
"unionisme"-noun-fra "unionisme"-noun-cat
"unioniste"-adjective-fra "unionista"-adjective-cat
"unioniste"-noun-fra "unionista"-noun-cat
"uniparental"-adjective-fra "uniparental"-adjective-cat
"unipersonnel"-adjective-fra "unipersonal"-adjective-cat
"unipersonnellement"-adverb-fra "unipersonnalment"-adverb-cat
"unipolaire"-adjective-fra "unipolar"-adjective-cat
"unipotent"-adjective-fra "unipotent"-adjective-cat
"unique"-adjective-fra "únic"-adjective-cat
"Unique"-properNoun-fra "Unique"-properNoun-cat
"uniquement"-adverb-fra "únicament"-adverb-cat
"unir"-verb-fra "unir"-verb-cat
"unisexuel"-adjective-fra "unisexual"-adjective-cat
"unitaire"-adjective-fra "unitari"-adjective-cat
"unitairement"-adverb-fra "unitàriament"-adverb-cat
"unitarisme"-noun-fra "unitarisme"-noun-cat
"unité"-noun-fra "unitat"-noun-cat
"unitif"-adjective-fra "unitiu"-adjective-cat
"univalent"-adjective-fra "univalent"-adjective-cat
"univalve"-adjective-fra "univalve"-adjective-cat
"univariant"-adjective-fra "univariant"-adjective-cat
"univers"-noun-fra "univers"-noun-cat
"universaliser"-verb-fra "universalitzar"-verb-cat
"universalisme"-noun-fra "universalisme"-noun-cat
"universaliste"-adjective-fra "universalista"-adjective-cat
"universaliste"-noun-fra "universalista"-noun-cat
"universalité"-noun-fra "universalitat"-noun-cat
"universel"-adjective-fra "universal"-adjective-cat
"universellement"-adverb-fra "universalment"-adverb-cat
"universitaire"-adjective-fra "universitari"-adjective-cat
"universitaire"-noun-fra "universitari"-noun-cat
"Universitat Oberta d'Estiu"-properNoun-fra "Universitat Oberta d'Estiu"-properNoun-cat
"Universitat Oberta de Catalunya"-properNoun-fra "Universitat Oberta de Catalunya"-properNoun-cat
"université"-noun-fra "universitat"-noun-cat
"univitellin"-adjective-fra "univitel·lí"-adjective-cat
"univocité"-noun-fra "univocitat"-noun-cat
"univoquement"-adverb-fra "unívocament"-adverb-cat
"Unix"-properNoun-fra "Unix"-properNoun-cat
"Unsdorfer"-properNoun-fra "Unsdorfer"-properNoun-cat
"Unterberger"-properNoun-fra "Unterberger"-properNoun-cat
"Unterholzner"-properNoun-fra "Unterholzner"-properNoun-cat
"Unzúe"-properNoun-fra "Unzúe"-properNoun-cat
"Unzueta"-properNoun-fra "Unzueta"-properNoun-cat
"Unzurrunzaga"-properNoun-fra "Unzurrunzaga"-properNoun-cat
"Updike"-properNoun-fra "Updike"-properNoun-cat
"UPN"-noun-fra "UPN"-noun-cat
"upsilon"-noun-fra "ípsilon"-noun-cat
"UPV"-noun-fra "UPV"-noun-cat
"uralien"-adjective-fra "uralià"-adjective-cat
"uranate"-noun-fra "uranat"-noun-cat
"Uranga"-properNoun-fra "Uranga"-properNoun-cat
"uraninite"-noun-fra "uraninita"-noun-cat
"uranique"-adjective-fra "urànic"-adjective-cat
"uranisme"-noun-fra "uranisme"-noun-cat
"uranite"-noun-fra "uranita"-noun-cat
"uranium"-noun-fra "urani"-noun-cat
"uranographie"-noun-fra "uranografia"-noun-cat
"uranométrie"-noun-fra "uranometria"-noun-cat
"Uranus"-properNoun-fra "Urà"-properNoun-cat
"Uras"-properNoun-fra "Uras"-properNoun-cat
"urate"-noun-fra "urat"-noun-cat
"urbain"-adjective-fra "urbà"-adjective-cat
"urbain"-adjective-fra "ciutadà"-adjective-cat
"urbain"-adjective-fra "urbanístic"-adjective-cat
"Urbain"-properNoun-fra "Urbà"-properNoun-cat
"Urbain"-properNoun-fra "Urbain"-properNoun-cat
"Urban"-properNoun-fra "Urban"-properNoun-cat
"Urbán"-properNoun-fra "Urbán"-properNoun-cat
"Urbana"-properNoun-fra "Urbana"-properNoun-cat
"Urbaneja"-properNoun-fra "Urbaneja"-properNoun-cat
"Urbani"-properNoun-fra "Urbani"-properNoun-cat
"urbanisation"-noun-fra "urbanització"-noun-cat
"urbaniser"-verb-fra "urbanitzar"-verb-cat
"urbanisme"-noun-fra "urbanisme"-noun-cat
"urbaniste"-noun-fra "urbanista"-noun-cat
"urbanistique"-adjective-fra "urbanístic"-adjective-cat
"urbanistiquement"-adverb-fra "urbanísticament"-adverb-cat
"urbanité"-noun-fra "urbanitat"-noun-cat
"Urbano"-properNoun-fra "Urbano"-properNoun-cat
"Urbelina"-properNoun-fra "Urbelina"-properNoun-cat
"Urbina"-properNoun-fra "Urbina"-properNoun-cat
"Urbina"-properNoun-fra "Urbina"-properNoun-cat
"urée"-noun-fra "urea"-noun-cat
"uréide"-noun-fra "ureid"-noun-cat
"urémique"-adjective-fra "urèmic"-adjective-cat
"Urendez"-properNoun-fra "Urendez"-properNoun-cat
"Uréndez"-properNoun-fra "Uréndez"-properNoun-cat
"uréotélique"-adjective-fra "ureotèlic"-adjective-cat
"urétéral"-adjective-fra "ureteral"-adjective-cat
"urétral"-adjective-fra "uretral"-adjective-cat
"urètre"-noun-fra "uretra"-noun-cat
"Ureña"-properNoun-fra "Ureña"-properNoun-cat
"Urgell"-properNoun-fra "Urgell"-properNoun-cat
"Urgell"-properNoun-fra "Urgell"-properNoun-cat
"Urgell"-properNoun-fra "Urgell"-properNoun-cat
"Urgellés"-properNoun-fra "Urgellés"-properNoun-cat
"urgence"-noun-fra "urgència"-noun-cat
"urgent"-adjective-fra "urgent"-adjective-cat
"urgent"-noun-fra "urgent"-noun-cat
"urgent"-noun-fra "urgent"-noun-cat
"urgentement"-adverb-fra "urgentment"-adverb-cat
"Uria"-properNoun-fra "Uria"-properNoun-cat
"Uría"-properNoun-fra "Uría"-properNoun-cat
"Uriarte"-properNoun-fra "Uriarte"-properNoun-cat
"Urías"-properNoun-fra "Urías"-properNoun-cat
"Uribarri"-properNoun-fra "Uribarri"-properNoun-cat
"Uribe"-properNoun-fra "Uribe"-properNoun-cat
"Uribetxeberria"-properNoun-fra "Uribetxeberria"-properNoun-cat
"uricosurique"-adjective-fra "uricosúric"-adjective-cat
"uridine"-noun-fra "uridina"-noun-cat
"Urien"-properNoun-fra "Urien"-properNoun-cat
"Urilla"-properNoun-fra "Urilla"-properNoun-cat
"urinaire"-adjective-fra "urinari"-adjective-cat
"urine"-noun-fra "orina"-noun-cat
"uriner"-verb-fra "orinar"-verb-cat
"uriner"-verb-fra "pixar"-verb-cat
"Uriol"-properNoun-fra "Uriol"-properNoun-cat
"urique"-adjective-fra "úric"-adjective-cat
"Uriz"-properNoun-fra "Uriz"-properNoun-cat
"Urizar"-properNoun-fra "Urizar"-properNoun-cat
"Urkia"-properNoun-fra "Urkia"-properNoun-cat
"Urkullu"-properNoun-fra "Urkullu"-properNoun-cat
"URL"-noun-fra "URL"-noun-cat
"URL"-noun-fra "URL"-noun-cat
"urne"-noun-fra "urna"-noun-cat
"uro-génital"-adjective-fra "urogenital"-adjective-cat
"urobiline"-noun-fra "urobilina"-noun-cat
"urogénital"-adjective-fra "urogenital"-adjective-cat
"urographie"-noun-fra "urografia"-noun-cat
"urologie"-noun-fra "urologia"-noun-cat
"urologique"-adjective-fra "urològic"-adjective-cat
"urologue"-noun-fra "uròleg"-noun-cat
"uronique"-adjective-fra "urònic"-adjective-cat
"uropygial"-adjective-fra "uropigial"-adjective-cat
"Uroz"-properNoun-fra "Uroz"-properNoun-cat
"Urpí"-properNoun-fra "Urpí"-properNoun-cat
"Urquijo"-properNoun-fra "Urquijo"-properNoun-cat
"Urraca"-properNoun-fra "Urraca"-properNoun-cat
"Urraro"-properNoun-fra "Urraro"-properNoun-cat
"Urrea"-properNoun-fra "Urrea"-properNoun-cat
"Urrutia"-properNoun-fra "Urrutia"-properNoun-cat
"Urso"-properNoun-fra "Urso"-properNoun-cat
"URSS"-properNoun-fra "URSS"-properNoun-cat
"Ursu"-properNoun-fra "Ursu"-properNoun-cat
"Ursula"-properNoun-fra "Ursula"-properNoun-cat
"Úrsula"-properNoun-fra "Úrsula"-properNoun-cat
"Ursulina"-properNoun-fra "Ursulina"-properNoun-cat
"ursuline"-noun-fra "ursulina"-noun-cat
"urticant"-adjective-fra "urticant"-adjective-cat
"urtication"-noun-fra "urticació"-noun-cat
"Urtxegi"-properNoun-fra "Urtxegi"-properNoun-cat
"Uruguay"-properNoun-fra "Uruguai"-properNoun-cat
"uruguayen"-adjective-fra "uruguaià"-adjective-cat
"Uruguayen"-noun-fra "uruguaià"-noun-cat
"uruguayen"-noun-fra "uruguaià"-noun-cat
"Urús"-properNoun-fra "Urús"-properNoun-cat
"Urweider"-properNoun-fra "Urweider"-properNoun-cat
"Urzi"-properNoun-fra "Urzi"-properNoun-cat
"usabilité"-noun-fra "usabilitat"-noun-cat
"usage"-noun-fra "ús"-noun-cat
"usager"-noun-fra "usuari"-noun-cat
"Usai"-properNoun-fra "Usai"-properNoun-cat
"Usain"-properNoun-fra "Usain"-properNoun-cat
"USB"-noun-fra "USB"-noun-cat
"USB"-noun-fra "USB"-noun-cat
"user"-verb-fra "usar"-verb-cat
"user"-verb-fra "desgastar"-verb-cat
"Usero"-properNoun-fra "Usero"-properNoun-cat
"usine"-noun-fra "fàbrica"-noun-cat
"usine"-noun-fra "factoria"-noun-cat
"usité"-adjective-fra "usitat"-adjective-cat
"Usón"-properNoun-fra "Usón"-properNoun-cat
"Usseglio"-properNoun-fra "Usseglio"-properNoun-cat
"ustensile"-noun-fra "estri"-noun-cat
"ustensile"-noun-fra "atuell"-noun-cat
"ustensile"-noun-fra "utensili"-noun-cat
"Ustrell"-properNoun-fra "Ustrell"-properNoun-cat
"usucapion"-noun-fra "usucapió"-noun-cat
"usuel"-adjective-fra "usual"-adjective-cat
"usuellement"-adverb-fra "usualment"-adverb-cat
"usufructuaire"-adjective-fra "usufructuari"-adjective-cat
"usufruit"-noun-fra "usdefruit"-noun-cat
"usuraire"-adjective-fra "usurari"-adjective-cat
"usurairement"-adverb-fra "usuràriament"-adverb-cat
"usure"-noun-fra "desgast"-noun-cat
"usurpateur"-adjective-fra "usurpador"-adjective-cat
"usurpateur"-noun-fra "usurpador"-noun-cat
"usurpation"-noun-fra "usurpació"-noun-cat
"usurpatoire"-adjective-fra "usurpatori"-adjective-cat
"usurper"-verb-fra "usurpar"-verb-cat
"Utah"-properNoun-fra "Utah"-properNoun-cat
"utérin"-adjective-fra "uterí"-adjective-cat
"utérus"-noun-fra "úter"-noun-cat
"Utges"-properNoun-fra "Utges"-properNoun-cat
"Utiel"-properNoun-fra "Utiel"-properNoun-cat
"utile"-adjective-fra "útil"-adjective-cat
"utile"-noun-fra "útil"-noun-cat
"utilement"-adverb-fra "útilment"-adverb-cat
"utilisable"-adjective-fra "utilitzable"-adjective-cat
"utilisateur"-adjective-fra "usuari"-adjective-cat
"utilisateur"-noun-fra "usuari"-noun-cat
"utilisation"-noun-fra "utilització"-noun-cat
"utiliser"-verb-fra "utilitzar"-verb-cat
"utiliser"-verb-fra "emprar"-verb-cat
"utiliser"-verb-fra "esmerçar"-verb-cat
"utiliser"-verb-fra "fer servir"-verb-cat
"utiliser"-verb-fra "usar"-verb-cat
"utiliser"-verb-fra "usar"-verb-cat
"utilitaire"-adjective-fra "utilitari"-adjective-cat
"utilitarisme"-noun-fra "utilitarisme"-noun-cat
"utilité"-noun-fra "utilitat"-noun-cat
"utopie"-noun-fra "utopia"-noun-cat
"utopique"-adjective-fra "utòpic"-adjective-cat
"utopisme"-noun-fra "utopisme"-noun-cat
"utopiste"-noun-fra "utopista"-noun-cat
"Utrecht"-properNoun-fra "Utrecht"-properNoun-cat
"Utrera"-properNoun-fra "Utrera"-properNoun-cat
"Utrilla"-properNoun-fra "Utrilla"-properNoun-cat
"Uttar Pradesh"-properNoun-fra "Uttar Pradesh"-properNoun-cat
"Utterson"-properNoun-fra "Utterson"-properNoun-cat
"Utzon"-properNoun-fra "Utzon"-properNoun-cat
"UV"-noun-fra "UV"-noun-cat
"uvulaire"-adjective-fra "uvular"-adjective-cat
"Uxia"-properNoun-fra "Uxia"-properNoun-cat
"Uxía"-properNoun-fra "Uxía"-properNoun-cat
"uxoricide"-noun-fra "uxoricida"-noun-cat
"Uxue"-properNoun-fra "Uxue"-properNoun-cat
"uzbek"-adjective-fra "uzbek"-adjective-cat
"Uzcai"-properNoun-fra "Uzcai"-properNoun-cat
"v"-noun-fra "v"-noun-cat
"V"-numeral-fra "V"-numeral-cat
"va-et-vient"-noun-fra "estira i arronsa"-noun-cat
"va-et-vient"-noun-fra "estira-i-arronsa"-noun-cat
"Vaca"-properNoun-fra "Vaca"-properNoun-cat
"vacance"-noun-fra "vacant"-noun-cat
"vacance"-noun-fra "vacant"-noun-cat
"vacances"-noun-fra "vacances"-noun-cat
"vacancier"-noun-fra "estiuejant"-noun-cat
"vacant"-adjective-fra "vacant"-adjective-cat
"Vacarisses"-properNoun-fra "Vacarisses"-properNoun-cat
"vacarme"-noun-fra "avalot"-noun-cat
"Vacas"-properNoun-fra "Vacas"-properNoun-cat
"vacataire"-adjective-fra "interí"-adjective-cat
"vacation"-noun-fra "vacació"-noun-cat
"Vacca"-properNoun-fra "Vacca"-properNoun-cat
"Vaccarezza"-properNoun-fra "Vaccarezza"-properNoun-cat
"Vaccari"-properNoun-fra "Vaccari"-properNoun-cat
"Vaccaro"-properNoun-fra "Vaccaro"-properNoun-cat
"Vacciano"-properNoun-fra "Vacciano"-properNoun-cat
"vaccin"-noun-fra "vacuna"-noun-cat
"vaccination"-noun-fra "vacunació"-noun-cat
"vacciné"-adjective-fra "vacunat"-adjective-cat
"vacciner"-verb-fra "vacunar"-verb-cat
"vaccinothérapie"-noun-fra "vaccinoteràpia"-noun-cat
"vache"-noun-fra "vaca"-noun-cat
"vacheur"-noun-fra "vaquer"-noun-cat
"Vachon"-properNoun-fra "Vachon"-properNoun-cat
"Vaciago"-properNoun-fra "Vaciago"-properNoun-cat
"vacillant"-adjective-fra "vacil·lant"-adjective-cat
"vacillation"-noun-fra "vacil·lació"-noun-cat
"vaciller"-verb-fra "centellejar"-verb-cat
"vacuolaire"-adjective-fra "vacuolar"-adjective-cat
"vacuole"-noun-fra "vacúol"-noun-cat
"Vada"-properNoun-fra "Vada"-properNoun-cat
"Vadeboncoeur"-properNoun-fra "Vadeboncoeur"-properNoun-cat
"Vadillo"-properNoun-fra "Vadillo"-properNoun-cat
"Vadim"-properNoun-fra "Vadim"-properNoun-cat
"Vadnais"-properNoun-fra "Vadnais"-properNoun-cat
"Vaduz"-properNoun-fra "Vaduz"-properNoun-cat
"Vaello"-properNoun-fra "Vaello"-properNoun-cat
"vagabond"-adjective-fra "vagabund"-adjective-cat
"vagabond"-noun-fra "vagabund"-noun-cat
"vagabond"-noun-fra "buscagatoses"-noun-cat
"vagabond"-noun-fra "gambaire"-noun-cat
"vagabond"-noun-fra "rodamón"-noun-cat
"vagabonder"-verb-fra "vagabundejar"-verb-cat
"vagal"-adjective-fra "vagal"-adjective-cat
"vagin"-noun-fra "vagina"-noun-cat
"vaginal"-adjective-fra "vaginal"-adjective-cat
"vaginisme"-noun-fra "vaginisme"-noun-cat
"Vagli"-properNoun-fra "Vagli"-properNoun-cat
"vagotonie"-noun-fra "vagotonia"-noun-cat
"vague"-adjective-fra "vague"-adjective-cat
"vague"-noun-fra "ona"-noun-cat
"vaguer"-verb-fra "vagar"-verb-cat
"vaillance"-noun-fra "valentia"-noun-cat
"Vaillancourt"-properNoun-fra "Vaillancourt"-properNoun-cat
"Vaillant"-properNoun-fra "Vaillant"-properNoun-cat
"vain"-adjective-fra "va"-adjective-cat
"vaincre"-verb-fra "vèncer"-verb-cat
"vaincu"-noun-fra "vençut"-noun-cat
"vainement"-adverb-fra "vanament"-adverb-cat
"vainqueur"-adjective-fra "guanyador"-adjective-cat
"vainqueur"-adjective-fra "vencedor"-adjective-cat
"vainqueur"-noun-fra "guanyador"-noun-cat
"vainqueur"-noun-fra "vencedor"-noun-cat
"vainqueur"-noun-fra "triomfador"-noun-cat
"vaisseau"-noun-fra "nau"-noun-cat
"vaisseau sanguin"-noun-fra "vas sanguini"-noun-cat
"vaisselle"-noun-fra "vaixella"-noun-cat
"Vaissier"-properNoun-fra "Vaissier"-properNoun-cat
"val"-noun-fra "vall"-noun-cat
"Val"-properNoun-fra "Val"-properNoun-cat
"Val d'Aran"-properNoun-fra "Val d'Aran"-properNoun-cat
"Val d'Aran"-properNoun-fra "Vall d'Aran"-properNoun-cat
"valable"-adjective-fra "vàlid"-adjective-cat
"Valachie"-properNoun-fra "Valàquia"-properNoun-cat
"Valade"-properNoun-fra "Valade"-properNoun-cat
"Valadié"-properNoun-fra "Valadié"-properNoun-cat
"Valarezo"-properNoun-fra "Valarezo"-properNoun-cat
"Valbuena"-properNoun-fra "Valbuena"-properNoun-cat
"Valcarce"-properNoun-fra "Valcarce"-properNoun-cat
"Valcarcel"-properNoun-fra "Valcarcel"-properNoun-cat
"Valcárcel"-properNoun-fra "Valcárcel"-properNoun-cat
"Valcourt"-properNoun-fra "Valcourt"-properNoun-cat
"Valderas"-properNoun-fra "Valderas"-properNoun-cat
"Valderrama"-properNoun-fra "Valderrama"-properNoun-cat
"Valdes"-properNoun-fra "Valdes"-properNoun-cat
"Valdés"-properNoun-fra "Valdés"-properNoun-cat
"Valdetaro"-properNoun-fra "Valdetaro"-properNoun-cat
"Valdez"-properNoun-fra "Valdez"-properNoun-cat
"Valdinosi"-properNoun-fra "Valdinosi"-properNoun-cat
"Valditara"-properNoun-fra "Valditara"-properNoun-cat
"Valdivia"-properNoun-fra "Valdivia"-properNoun-cat
"Valdivieso"-properNoun-fra "Valdivieso"-properNoun-cat
"Valdo"-properNoun-fra "Valdo"-properNoun-cat
"Valducci"-properNoun-fra "Valducci"-properNoun-cat
"Vale"-properNoun-fra "Vale"-properNoun-cat
"valence"-noun-fra "valència"-noun-cat
"Valence"-properNoun-fra "Valence"-properNoun-cat
"Valence"-properNoun-fra "València"-properNoun-cat
"Valencia"-properNoun-fra "Valencia"-properNoun-cat
"Valencia"-properNoun-fra "Valencia"-properNoun-cat
"València"-properNoun-fra "València"-properNoun-cat
"Valenciaga"-properNoun-fra "Valenciaga"-properNoun-cat
"valencianiste"-adjective-fra "valencianista"-adjective-cat
"valencianiste"-noun-fra "valencianista"-noun-cat
"Valenciano"-properNoun-fra "Valenciano"-properNoun-cat
"valencien"-adjective-fra "valencià"-adjective-cat
"valencien"-noun-fra "valencià"-noun-cat
"Valent"-properNoun-fra "Valent"-properNoun-cat
"Valente"-properNoun-fra "Valente"-properNoun-cat
"Valenti"-properNoun-fra "Valenti"-properNoun-cat
"Valentí"-properNoun-fra "Valentí"-properNoun-cat
"Valentí"-properNoun-fra "Valentí"-properNoun-cat
"Valentia"-properNoun-fra "Valentia"-properNoun-cat
"Valentim"-properNoun-fra "Valentim"-properNoun-cat
"Valentin"-properNoun-fra "Valentin"-properNoun-cat
"Valentin"-properNoun-fra "Valentin"-properNoun-cat
"Valentín"-properNoun-fra "Valentín"-properNoun-cat
"Valentín"-properNoun-fra "Valentín"-properNoun-cat
"Valentina"-properNoun-fra "Valentina"-properNoun-cat
"Valentine"-properNoun-fra "Valentine"-properNoun-cat
"Valentine"-properNoun-fra "Valentine"-properNoun-cat
"Valentini"-properNoun-fra "Valentini"-properNoun-cat
"valentinite"-noun-fra "valentinita"-noun-cat
"Valentino"-properNoun-fra "Valentino"-properNoun-cat
"Valentino"-properNoun-fra "Valentino"-properNoun-cat
"Valenza"-properNoun-fra "Valenza"-properNoun-cat
"Valenzuela"-properNoun-fra "Valenzuela"-properNoun-cat
"Valera"-properNoun-fra "Valera"-properNoun-cat
"Valère"-properNoun-fra "Valère"-properNoun-cat
"Valeria"-properNoun-fra "Valeria"-properNoun-cat
"Valèria"-properNoun-fra "Valèria"-properNoun-cat
"Valeriana"-properNoun-fra "Valeriana"-properNoun-cat
"valériane"-noun-fra "valeriana"-noun-cat
"valérianique"-adjective-fra "valeriànic"-adjective-cat
"Valeriano"-properNoun-fra "Valeriano"-properNoun-cat
"Valeriano"-properNoun-fra "Valeriano"-properNoun-cat
"Valerie"-properNoun-fra "Valerie"-properNoun-cat
"Valérie"-properNoun-fra "Valérie"-properNoun-cat
"Valerio"-properNoun-fra "Valerio"-properNoun-cat
"valérique"-adjective-fra "valèric"-adjective-cat
"Valero"-properNoun-fra "Valero"-properNoun-cat
"Valéry"-properNoun-fra "Valéry"-properNoun-cat
"valet"-noun-fra "criat"-noun-cat
"valétudinaire"-adjective-fra "valetudinari"-adjective-cat
"valeur"-noun-fra "valor"-noun-cat
"valeur"-noun-fra "vàlua"-noun-cat
"valeureux"-adjective-fra "valerós"-adjective-cat
"Valiante"-properNoun-fra "Valiante"-properNoun-cat
"validation"-noun-fra "validació"-noun-cat
"validement"-adverb-fra "vàlidament"-adverb-cat
"valider"-verb-fra "validar"-verb-cat
"valider"-verb-fra "convalidar"-verb-cat
"validité"-noun-fra "validesa"-noun-cat
"validité"-noun-fra "vigència"-noun-cat
"Valiente"-properNoun-fra "Valiente"-properNoun-cat
"Valin"-properNoun-fra "Valin"-properNoun-cat
"valine"-noun-fra "valina"-noun-cat
"Valiquette"-properNoun-fra "Valiquette"-properNoun-cat
"valise"-noun-fra "maleta"-noun-cat
"Vall"-properNoun-fra "Vall"-properNoun-cat
"Vall d'Alba"-properNoun-fra "Vall d'Alba"-properNoun-cat
"Vall de Almonacid"-properNoun-fra "Vall de Almonacid"-properNoun-cat
"Vall de Cardós"-properNoun-fra "Vall de Cardós"-properNoun-cat
"Vall de Gallinera"-properNoun-fra "Vall de Gallinera"-properNoun-cat
"Vall-llobrega"-properNoun-fra "Vall-llobrega"-properNoun-cat
"Vallada"-properNoun-fra "Vallada"-properNoun-cat
"Valladares"-properNoun-fra "Valladares"-properNoun-cat
"Valladolid"-properNoun-fra "Valladolid"-properNoun-cat
"Vallanca"-properNoun-fra "Vallanca"-properNoun-cat
"Vallardi"-properNoun-fra "Vallardi"-properNoun-cat
"Vallascas"-properNoun-fra "Vallascas"-properNoun-cat
"Vallat"-properNoun-fra "Vallat"-properNoun-cat
"Vallbona"-properNoun-fra "Vallbona"-properNoun-cat
"Vallbona"-properNoun-fra "Vallbona"-properNoun-cat
"Vallbona d'Anoia"-properNoun-fra "Vallbona d'Anoia"-properNoun-cat
"Vallbona de les Monges"-properNoun-fra "Vallbona de les Monges"-properNoun-cat
"Vallcarca"-properNoun-fra "Vallcarca"-properNoun-cat
"Vallcebre"-properNoun-fra "Vallcebre"-properNoun-cat
"Vallclara"-properNoun-fra "Vallclara"-properNoun-cat
"Vallcorba"-properNoun-fra "Vallcorba"-properNoun-cat
"Valldaura"-properNoun-fra "Valldaura"-properNoun-cat
"Valldeoriola"-properNoun-fra "Valldeoriola"-properNoun-cat
"Valldeperas"-properNoun-fra "Valldeperas"-properNoun-cat
"Valldepérez"-properNoun-fra "Valldepérez"-properNoun-cat
"Valldosera"-properNoun-fra "Valldosera"-properNoun-cat
"Valle"-properNoun-fra "Valle"-properNoun-cat
"Vallecillos"-properNoun-fra "Vallecillos"-properNoun-cat
"vallée"-noun-fra "vall"-noun-cat
"vallon"-noun-fra "vall petita"-noun-cat
"Vallée"-properNoun-fra "Vallée"-properNoun-cat
"Vallehermoso"-properNoun-fra "Vallehermoso"-properNoun-cat
"Vallejo"-properNoun-fra "Vallejo"-properNoun-cat
"Vallejos"-properNoun-fra "Vallejos"-properNoun-cat
"Vallerand"-properNoun-fra "Vallerand"-properNoun-cat
"Vallès"-properNoun-fra "Vallès"-properNoun-cat
"Vallès"-properNoun-fra "Vallès"-properNoun-cat
"Vallés"-properNoun-fra "Vallés"-properNoun-cat
"Vallés"-properNoun-fra "Vallés"-properNoun-cat
"Vallès Occidental"-properNoun-fra "Vallès Occidental"-properNoun-cat
"Vallès Oriental"-properNoun-fra "Vallès Oriental"-properNoun-cat
"Vallespí"-properNoun-fra "Vallespí"-properNoun-cat
"Vallespín"-properNoun-fra "Vallespín"-properNoun-cat
"Vallet"-properNoun-fra "Vallet"-properNoun-cat
"Vallfogona de Balaguer"-properNoun-fra "Vallfogona de Balaguer"-properNoun-cat
"Vallfogona de Ripollès"-properNoun-fra "Vallfogona de Ripollès"-properNoun-cat
"Vallfogona de Riucorb"-properNoun-fra "Vallfogona de Riucorb"-properNoun-cat
